"Date","Open","High","Low","Close"
"05 Aug 2022","-","-","-","6134.27"
"04 Aug 2022","-","-","-","6109.49"
"03 Aug 2022","-","-","-","6125.99"
"02 Aug 2022","-","-","-","6178.47"
"01 Aug 2022","-","-","-","6138.32"
"29 Jul 2022","-","-","-","6055.32"
"28 Jul 2022","-","-","-","5970.50"
"27 Jul 2022","-","-","-","5926.18"
"26 Jul 2022","-","-","-","5872.25"
"25 Jul 2022","-","-","-","5897.53"
"22 Jul 2022","-","-","-","5894.91"
"21 Jul 2022","-","-","-","5885.35"
"20 Jul 2022","-","-","-","5824.99"
"19 Jul 2022","-","-","-","5798.44"
"18 Jul 2022","-","-","-","5757.57"
"15 Jul 2022","-","-","-","5650.55"
"14 Jul 2022","-","-","-","5651.88"
"13 Jul 2022","-","-","-","5669.61"
"12 Jul 2022","-","-","-","5655.18"
"11 Jul 2022","-","-","-","5713.25"
"08 Jul 2022","-","-","-","5660.83"
"07 Jul 2022","-","-","-","5655.04"
"06 Jul 2022","-","-","-","5529.46"
"05 Jul 2022","-","-","-","5529.72"
"04 Jul 2022","-","-","-","5542.07"
"01 Jul 2022","-","-","-","5529.39"
"30 Jun 2022","-","-","-","5541.62"
"29 Jun 2022","-","-","-","5580.30"
"28 Jun 2022","-","-","-","5557.83"
"27 Jun 2022","-","-","-","5495.65"
"24 Jun 2022","-","-","-","5406.02"
"23 Jun 2022","-","-","-","5358.14"
"22 Jun 2022","-","-","-","5347.86"
"21 Jun 2022","-","-","-","5442.12"
"20 Jun 2022","-","-","-","5270.00"
"17 Jun 2022","-","-","-","5430.39"
"16 Jun 2022","-","-","-","5478.37"
"15 Jun 2022","-","-","-","5669.02"
"14 Jun 2022","-","-","-","5703.97"
"13 Jun 2022","-","-","-","5745.30"
"10 Jun 2022","-","-","-","5934.35"
"09 Jun 2022","-","-","-","5977.93"
"08 Jun 2022","-","-","-","5992.46"
"07 Jun 2022","-","-","-","5986.00"
"06 Jun 2022","-","-","-","5963.62"
"03 Jun 2022","-","-","-","5971.74"
"02 Jun 2022","-","-","-","6032.68"
"01 Jun 2022","-","-","-","5986.47"
"31 May 2022","-","-","-","5973.92"
"30 May 2022","-","-","-","5913.71"
"27 May 2022","-","-","-","5825.89"
"26 May 2022","-","-","-","5868.92"
"25 May 2022","-","-","-","5803.42"
"24 May 2022","-","-","-","5861.75"
"23 May 2022","-","-","-","5920.97"
"20 May 2022","-","-","-","6054.35"
"19 May 2022","-","-","-","5932.27"
"18 May 2022","-","-","-","6039.07"
"17 May 2022","-","-","-","6095.27"
"16 May 2022","-","-","-","5867.45"
"13 May 2022","-","-","-","5819.29"
"12 May 2022","-","-","-","5883.02"
"11 May 2022","-","-","-","6009.86"
"10 May 2022","-","-","-","6077.59"
"09 May 2022","-","-","-","6244.05"
"06 May 2022","-","-","-","6311.03"
"05 May 2022","-","-","-","6357.36"
"04 May 2022","-","-","-","6352.68"
"02 May 2022","-","-","-","6429.98"
"29 Apr 2022","-","-","-","6420.40"
"28 Apr 2022","-","-","-","6523.47"
"27 Apr 2022","-","-","-","6466.73"
"26 Apr 2022","-","-","-","6527.55"
"25 Apr 2022","-","-","-","6448.04"
"22 Apr 2022","-","-","-","6656.76"
"21 Apr 2022","-","-","-","6741.12"
"20 Apr 2022","-","-","-","6687.52"
"19 Apr 2022","-","-","-","6674.91"
"18 Apr 2022","-","-","-","6684.01"
"13 Apr 2022","-","-","-","6679.57"
"12 Apr 2022","-","-","-","6635.21"
"11 Apr 2022","-","-","-","6784.34"
"08 Apr 2022","-","-","-","6756.48"
"07 Apr 2022","-","-","-","6658.42"
"06 Apr 2022","-","-","-","6725.87"
"05 Apr 2022","-","-","-","6638.69"
"04 Apr 2022","-","-","-","6589.70"
"01 Apr 2022","-","-","-","6498.19"
"31 Mar 2022","-","-","-","6340.31"
"30 Mar 2022","-","-","-","6330.87"
"29 Mar 2022","-","-","-","6371.39"
"28 Mar 2022","-","-","-","6407.31"
"25 Mar 2022","-","-","-","6373.40"
"24 Mar 2022","-","-","-","6414.88"
"23 Mar 2022","-","-","-","6375.35"
"22 Mar 2022","-","-","-","6345.21"
"21 Mar 2022","-","-","-","6290.56"
"17 Mar 2022","-","-","-","6307.16"
"16 Mar 2022","-","-","-","6249.63"
"15 Mar 2022","-","-","-","6125.90"
