"Date","Open","High","Low","Close"
"05 Aug 2022","9249.10","9273.70","9211.45","9228.70"
"04 Aug 2022","9255.15","9273.90","9097.55","9224.70"
"03 Aug 2022","9211.10","9228.40","9132.25","9214.30"
"02 Aug 2022","9186.65","9229.50","9143.40","9210.65"
"01 Aug 2022","9133.40","9205.30","9086.05","9197.65"
"29 Jul 2022","9041.30","9095.30","9017.40","9087.65"
"28 Jul 2022","8894.10","8974.30","8873.00","8966.10"
"27 Jul 2022","8740.60","8835.85","8721.75","8829.60"
"26 Jul 2022","8835.80","8836.90","8734.10","8745.85"
"25 Jul 2022","8848.30","8866.05","8799.00","8832.60"
"22 Jul 2022","8861.05","8884.45","8823.40","8869.20"
"21 Jul 2022","8766.60","8840.55","8747.20","8829.10"
"20 Jul 2022","8797.90","8803.80","8748.35","8763.85"
"19 Jul 2022","8609.55","8700.05","8609.55","8689.65"
"18 Jul 2022","8588.65","8658.05","8584.20","8651.95"
"15 Jul 2022","8513.35","8540.50","8472.15","8531.35"
"14 Jul 2022","8516.15","8533.75","8421.30","8475.45"
"13 Jul 2022","8563.45","8573.75","8479.00","8487.35"
"12 Jul 2022","8551.05","8578.05","8510.15","8524.30"
"11 Jul 2022","8525.30","8606.20","8515.85","8593.40"
"08 Jul 2022","8591.20","8591.85","8525.55","8564.00"
"07 Jul 2022","8507.15","8530.60","8474.30","8522.50"
"06 Jul 2022","8339.20","8453.30","8326.20","8442.65"
"05 Jul 2022","8382.35","8440.00","8319.00","8333.65"
"04 Jul 2022","8281.75","8351.70","8254.80","8344.10"
"01 Jul 2022","8256.20","8313.75","8166.80","8294.90"
"30 Jun 2022","8303.80","8356.65","8267.65","8290.80"
"29 Jun 2022","8260.80","8338.70","8255.30","8310.55"
"28 Jun 2022","8293.35","8356.85","8258.80","8340.85"
"27 Jun 2022","8373.30","8375.35","8321.10","8329.20"
"24 Jun 2022","8229.35","8271.70","8213.75","8258.60"
"23 Jun 2022","8114.10","8208.95","8074.40","8173.90"
"22 Jun 2022","8174.35","8180.50","8080.20","8093.45"
"21 Jun 2022","8098.45","8241.40","8082.20","8218.55"
"20 Jun 2022","8069.35","8084.10","7978.20","8040.45"
"17 Jun 2022","8056.55","8121.70","7995.75","8048.70"
"16 Jun 2022","8359.55","8372.05","8089.25","8105.35"
"15 Jun 2022","8302.90","8326.25","8272.40","8281.20"
"14 Jun 2022","8261.55","8361.90","8249.10","8291.10"
"13 Jun 2022","8365.60","8370.10","8265.85","8307.45"
"10 Jun 2022","8560.45","8581.00","8513.80","8529.10"
"09 Jun 2022","8550.00","8664.95","8534.55","8657.30"
"08 Jun 2022","8655.75","8678.75","8561.60","8595.60"
"07 Jun 2022","8654.35","8661.95","8596.00","8627.60"
"06 Jun 2022","8689.95","8720.85","8627.95","8703.35"
"03 Jun 2022","8835.50","8847.40","8705.90","8713.80"
"02 Jun 2022","8694.15","8773.70","8675.75","8766.45"
"01 Jun 2022","8750.10","8782.10","8665.45","8710.70"
"31 May 2022","8744.10","8808.25","8717.10","8745.65"
"30 May 2022","8696.55","8786.20","8687.55","8779.10"
"27 May 2022","8583.00","8613.10","8538.95","8606.15"
"26 May 2022","8467.05","8534.00","8346.05","8511.50"
"25 May 2022","8546.90","8558.45","8415.50","8426.55"
"24 May 2022","8574.45","8590.25","8485.70","8511.35"
"23 May 2022","8615.25","8670.70","8548.80","8562.85"
"20 May 2022","8506.30","8604.30","8490.20","8597.10"
"19 May 2022","8431.15","8464.65","8360.25","8378.35"
"18 May 2022","8656.75","8702.20","8599.40","8611.25"
"17 May 2022","8445.00","8632.05","8437.00","8619.55"
"16 May 2022","8382.95","8453.15","8320.75","8399.05"
"13 May 2022","8443.10","8514.45","8319.95","8343.10"
"12 May 2022","8475.25","8484.50","8304.90","8348.40"
